Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR1913206	2017-04-07 10:55:17	2017-04-14 13:28:34	1855178	160407624	0	86	121		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913206/ERR1913206.sralite.1	ERX1973783	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647313	SAMEA103958145	simple	408170	human gut metagenome	SAMEA103958145							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	1F6BC156136106708BC372E43FE25AF1	6D22D9E2F6A325C4785FD0FEA1CDEFD3
ERR1913207	2017-04-07 10:55:17	2017-04-14 13:28:40	1828305	158782713	0	86	119		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913207/ERR1913207.sralite.1	ERX1973784	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647313	SAMEA103958145	simple	408170	human gut metagenome	SAMEA103958145							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	C3C71D71297063F27B642581914E1813	11F953B06150F5130CE831A8490143FA
ERR1913208	2017-04-07 10:55:17	2017-04-14 13:28:47	2106429	195778212	0	92	141		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913208/ERR1913208.sralite.1	ERX1973785	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647313	SAMEA103958145	simple	408170	human gut metagenome	SAMEA103958145							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	8AFEA2CCA707D3A539ED96193194E6CD	CFF80140DB500176A263B0A2E1233E74
ERR1913246	2017-04-07 10:55:18	2017-04-14 13:32:33	1857221	159491456	0	85	120		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913246/ERR1913246.sralite.1	ERX1973823	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647315	SAMEA103958147	simple	408170	human gut metagenome	SAMEA103958147							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	F46AC3B7913BE99FA33EAFFEF41FA437	C23BE74D6B227329F78798FE10DB15A0
ERR1913247	2017-04-07 10:55:18	2017-04-14 13:32:33	1826029	157523701	0	86	118		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913247/ERR1913247.sralite.1	ERX1973824	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647315	SAMEA103958147	simple	408170	human gut metagenome	SAMEA103958147							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	7A8B3BF2766505915243A4B89FFD8640	2D2C6752FAA427F60A96C96C3D36106C
ERR1913248	2017-04-07 10:55:18	2017-04-14 13:32:42	2160672	198292556	0	91	143		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913248/ERR1913248.sralite.1	ERX1973825	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647315	SAMEA103958147	simple	408170	human gut metagenome	SAMEA103958147							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	F96E69725BC7153431FE2134E7FA13C7	4C7DE821D6ECF82FAEED7901AD3E9B91
ERR1913200	2017-04-07 10:55:17	2017-04-14 13:28:02	1923568	175395951	0	91	127		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913200/ERR1913200.sralite.1	ERX1973777	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647317	SAMEA103958149	simple	408170	human gut metagenome	SAMEA103958149							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	26C1D56D6EAA170D75A0327F72269BA5	026F2AC9C8353E0683BE10B13F7E15B0
ERR1913201	2017-04-07 10:55:17	2017-04-14 13:28:10	2500478	247483493	0	98	170		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913201/ERR1913201.sralite.1	ERX1973778	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647317	SAMEA103958149	simple	408170	human gut metagenome	SAMEA103958149							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	59860C690BEE871A0B2ACD2B1F87BCC6	3ADF04F95E718363F4B1100075D81008
ERR1913221	2017-04-07 10:55:18	2017-04-14 13:29:47	2720366	246235634	0	90	179		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913221/ERR1913221.sralite.1	ERX1973798	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647321	SAMEA103958153	simple	408170	human gut metagenome	SAMEA103958153							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	E3ABC21162D85A1B6BD7FC25F1C4A9EA	258C576FF029348ADC2D125B86FE3E32
ERR1913222	2017-04-07 10:55:18	2017-04-14 13:29:56	2501789	226911368	0	90	164		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR001/913/ERR1913222/ERR1913222.sralite.1	ERX1973799	unspecified	WGS	RANDOM	METAGENOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP019674	PRJEB17784		382085	ERS1647321	SAMEA103958153	simple	408170	human gut metagenome	SAMEA103958153							no					EUROPEAN MOLECULAR BIOLOGY LABORATORY, HEIDELBERG,	ERA872021		public	47C19C47EA8FF11A72D1CCBD9664BB85	3D6784772F6282E806E6CC3FCB6CBD93
