Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR636388	2015-06-02 13:48:55	2015-06-03 04:03:20	104675120	20584110838	104675120	196	8648		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636388/ERR636388.sralite.1	ERX592947	2013_120	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554231	SAMEA2784487	simple	408170	human gut metagenome	SAMEA2784487							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	51D92F74DA04492DFF2E74232A79DA24	FB7943216EE88EBBE5EC4A6F3AA2FB52
ERR636389	2015-06-02 13:48:57	2015-06-03 02:25:26	99898565	19447906553	99898565	194	11278		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636389/ERR636389.sralite.1	ERX592948	2012_125	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554232	SAMEA2784488	simple	408170	human gut metagenome	SAMEA2784488							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	1D4CCE4CBC7B909E7F4804F022D8736D	FD45F5E503D147A9B88A9E0533C7E842
ERR636390	2015-06-02 13:48:57	2015-06-03 00:27:22	77801453	15067079763	77801453	193	10198		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636390/ERR636390.sralite.1	ERX592949	2012_126	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554233	SAMEA2784489	simple	408170	human gut metagenome	SAMEA2784489							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	B34383149DCB8999F01021DDEC9B312B	9668A6A7C3BCCC947D5BED7C82725DC0
ERR636391	2015-06-02 13:48:57	2015-06-02 19:55:20	65736512	12672897359	65736512	192	8716		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636391/ERR636391.sralite.1	ERX592950	2012_127	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554234	SAMEA2784490	simple	408170	human gut metagenome	SAMEA2784490							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	95D1532C71DF2BF069DF798B8F737DDA	6DDB4EB0D6ED96E616878DEDFC44460A
ERR636392	2015-06-02 13:48:55	2015-06-03 02:38:53	95299798	17218876158	95299798	180	12344		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636392/ERR636392.sralite.1	ERX592951	2012_128	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554235	SAMEA2784491	simple	408170	human gut metagenome	SAMEA2784491							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	3A38E61763E760FCB4DDE16ECB5B89F2	D8F19EBCA8A6BA5AA073664FC14A2313
ERR636393	2015-06-02 13:48:57	2015-06-03 04:54:50	117356765	20835897670	117356765	177	15043		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636393/ERR636393.sralite.1	ERX592952	2012_129	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554236	SAMEA2784492	simple	408170	human gut metagenome	SAMEA2784492							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	BCE0ACAAC9380BBB35DB59D285CBB8A8	073F8AF1DBB8716290B29A17DF0C9F4A
ERR636394	2015-06-02 13:48:57	2015-06-03 02:56:24	111437652	20258862213	111437652	181	14036		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636394/ERR636394.sralite.1	ERX592953	2012_130	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554237	SAMEA2784493	simple	408170	human gut metagenome	SAMEA2784493							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	8F356074957F90F9E077A5538DEDFE79	1A27417CD73407C97204D9D2B0F0B70F
ERR636395	2015-06-02 13:48:56	2015-06-04 05:02:59	107097525	19591160321	107097525	182	13556		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636395/ERR636395.sralite.1	ERX592954	2012_131	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554238	SAMEA2784494	simple	408170	human gut metagenome	SAMEA2784494							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	4B0D49228A9321E29B0828F6B9744378	B932E2FB08A4868DE589A8A84BE9A74C
ERR636396	2015-06-02 13:48:58	2015-06-04 04:18:27	139510543	25450346613	139510543	182	17840		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636396/ERR636396.sralite.1	ERX592955	2012_132	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554239	SAMEA2784495	simple	408170	human gut metagenome	SAMEA2784495							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	70111957394E8480640A8015F80E7753	A3705E7B47BD711AA37E3216D12E03D8
ERR636397	2015-06-02 13:48:57	2015-06-03 00:17:30	75267243	13587167167	75267243	180	9555		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636397/ERR636397.sralite.1	ERX592956	2012_133	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554240	SAMEA2784496	simple	408170	human gut metagenome	SAMEA2784496							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	5342A2E898E528CE8140229CA242BB94	1AEF2C97CA2E3CB9EE6F4BF64012BFE2
ERR636398	2015-06-02 13:48:56	2015-06-03 03:17:50	125704413	23278447445	125704413	185	16520		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636398/ERR636398.sralite.1	ERX592957	2012_134	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554241	SAMEA2784497	simple	408170	human gut metagenome	SAMEA2784497							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	71EA461726D943E0EA8FE726829C24C8	6A804111CE0D38E97F99FBFA2AF69190
ERR636399	2015-06-02 13:48:59	2015-06-03 04:23:02	91026911	16772473657	91026911	184	12011		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636399/ERR636399.sralite.1	ERX592958	2012_135	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554242	SAMEA2784498	simple	408170	human gut metagenome	SAMEA2784498							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	87B2EE5574213BEF8A7CB4BCC3807FC7	F01C2178F80BFEDA61FAAAEB8A04909E
ERR636400	2015-06-02 13:48:59	2015-06-02 23:54:13	51705957	9684055900	51705957	187	6790		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636400/ERR636400.sralite.1	ERX592959	2012_136	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554243	SAMEA2784499	simple	408170	human gut metagenome	SAMEA2784499							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	9910856662B2B5AB9241139A6FE33E76	10BE61390D2C71A0CD8C34DE0399A0D8
ERR636401	2015-06-02 13:48:58	2015-06-03 04:19:14	168578941	31006092018	168578941	183	22134		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636401/ERR636401.sralite.1	ERX592960	2012_137	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554244	SAMEA2784500	simple	408170	human gut metagenome	SAMEA2784500							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	90474F13215BBE5B8E1F26784C280DD4	F5202BC5FDB20F4B7122242336C251BB
ERR636402	2015-06-02 13:48:58	2015-06-02 19:38:28	81634162	15512438727	81634162	190	10525		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636402/ERR636402.sralite.1	ERX592961	2012_138	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554245	SAMEA2784501	simple	408170	human gut metagenome	SAMEA2784501							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	5584464E54F9E0BEF949B3CADB98B030	346B6C5075F746811341515876FF4CAA
ERR636403	2015-06-02 13:48:59	2015-06-03 03:16:00	110841646	21118084967	110841646	190	14105		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636403/ERR636403.sralite.1	ERX592962	2012_139	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554246	SAMEA2784502	simple	408170	human gut metagenome	SAMEA2784502							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	8EC1EEC9D3054366DAE5AD7404FF5EE3	9E3010BB278704ACACD94BA4FE49DF25
ERR636404	2015-06-02 13:48:58	2015-06-03 03:02:46	74749858	13836734735	74749858	185	9911		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636404/ERR636404.sralite.1	ERX592963	2012_140	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554247	SAMEA2784503	simple	408170	human gut metagenome	SAMEA2784503							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	4858FA7965EE970E9B31B2522B6EF049	DE86117E12D78AC3A13CF895D66103E9
ERR636405	2015-06-02 13:48:59	2015-06-03 02:06:46	84768485	16265353413	84768485	191	7183		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636405/ERR636405.sralite.1	ERX592964	2013_121	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554248	SAMEA2784504	simple	408170	human gut metagenome	SAMEA2784504							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	F89430020E8521B5C115DDF373E270DB	7AFF60274582ED9FECC2BB9BC23A2F49
ERR636406	2015-06-02 13:48:58	2015-06-02 18:45:53	105987973	20777807237	105987973	196	8879		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636406/ERR636406.sralite.1	ERX592965	2013_122	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554249	SAMEA2784505	simple	408170	human gut metagenome	SAMEA2784505							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	79740B38EDC17CA5E3F8668136DBC1AE	3E5C8B962713BBADC1E35B1FF145FCC7
ERR636407	2015-06-02 13:48:56	2015-06-02 19:46:48	96338305	18585436562	96338305	192	8187		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636407/ERR636407.sralite.1	ERX592966	2013_123	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554250	SAMEA2784506	simple	408170	human gut metagenome	SAMEA2784506							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	5CF3122460B52E0981A565DFD806A6B8	AD37C6CC79004B01FFFFDFB7C4C868AC
ERR636408	2015-06-02 13:48:59	2015-06-03 04:13:33	105653830	20295900252	105653830	192	8886		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636408/ERR636408.sralite.1	ERX592967	2013_124	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554251	SAMEA2784507	simple	408170	human gut metagenome	SAMEA2784507							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	8D29D1D0C5CC981AB2EBA566B341824F	9716772B4B8EE7DF831429D43481D166
ERR636409	2015-06-02 13:48:59	2015-06-03 03:04:28	111299634	21567769804	111299634	193	9725		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636409/ERR636409.sralite.1	ERX592968	2013_125	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554252	SAMEA2784508	simple	408170	human gut metagenome	SAMEA2784508							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	4CAB5E4D15A7ADC125238DF4922545B4	4214962EA6A307F08BC38AEA9BC77FB8
ERR636410	2015-06-02 13:48:56	2015-06-02 23:56:42	89404424	17165687210	89404424	192	7868		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636410/ERR636410.sralite.1	ERX592969	2013_126	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554253	SAMEA2784509	simple	408170	human gut metagenome	SAMEA2784509							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	5972CEBCB7910C7B39B25080919975F1	158FF9E1F40B5A10BC08263BB5CAAEBD
ERR636411	2015-06-02 13:48:56	2015-06-02 17:41:22	86709535	16848761573	86709535	194	7490		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/ERR000/636/ERR636411/ERR636411.sralite.1	ERX592970	2013_127	WGS	RANDOM	METAGENOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2000	ERP007090	PRJEB7369		285621	ERS554254	SAMEA2784510	simple	408170	human gut metagenome	SAMEA2784510							no					UNIVERSITY OF GOTHENBURG	ERA361957		public	800B483821372AB96BDD363756425ECD	606BB09456909866C135FED1729757DB
